GlobalId,Name,IfcClass,UniformatDescription,Material
0E$xQdWUuJjiNtSNOrYvKT,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
072Md8C$5TnAvAFXtmsyt1,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
2Tg1EfYMItU2VkM_bPV9bg,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
1rMCcj3ZRf3453Vq9bRgxW,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
1D80f948nLhZzU9JNcyjE5,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
2vLav9mlHiDS_WAm3Djm4n,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_50_V3_CAP_22,IfcMember,Murs-rideaux,
0gojNWCflgFFm93NJeFzHQ,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
2Ui2kyEFlkmQUAqsZh$4Ml,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
1Yx8m_8Ut23hQsjir$vf2D,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
1kbgkuNvFWwZauhb6mS_8U,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
0oRyXRbwK4mhb8ya7npQzW,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
2bY8fR$kRmh8ETl3Wz00fT,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
1ZAhEO93zY9SiszDS2EeRU,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
0qWbVsuGoBhd79pcZamEP0,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
2ME3YV8JbQwl5iab775KfI,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
2HR5HKEk$vJXk6rJvnC5kD,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
3JsmiQE6tCJqwlPoqEHcmS,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
2igjEQXyYlTfjOGc0KiBjc,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
2g9L6G653h1I8faFB$HyrC,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_50_V3_CAP_22,IfcMember,Murs-rideaux,
2NjpZp0YXR5zyhcfDhfHLn,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
3N2ZdWsyVBrQ_QDJZqgiNl,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
0SuuR4Z1Yo9QBpilRkcH8C,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_50_V3_CAP_22,IfcMember,Murs-rideaux,
1_MVTbnY4Z8U71_GqZI6G3,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
1GfKNFzi2OGaQftRnggXjB,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
2Kc1PqmNT6jJqOwvF$aydM,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
1p91fN1QpPTblWITeY6kKk,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
1dlRkIlEUrDtn322ZZfTAE,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
1RceLAUkDaNswOwh3v3r1K,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_SIL,IfcMember,Murs-rideaux,
